customerId,name,accountOpeningDate,monthlyInflow,monthlyOutflow,requestedLoanAmount,requestedTenure
DEMO-001,Name-001,15-01-2022,22000,9800,120000,24
DEMO-002,Name-002,02-11-2021,18000,8400,90000,18
DEMO-003,Name-003,19-04-2023,14500,6100,65000,12
DEMO-004,Name-004,07-09-2020,36000,17000,180000,30
DEMO-005,Name-005,21-06-2022,19500,9300,98000,24
DEMO-006,Name-006,11-02-2023,12500,5200,50000,12
DEMO-007,Name-007,30-07-2021,28000,12600,130000,24
DEMO-008,Name-008,08-01-2024,9000,3900,32000,12
DEMO-009,Name-009,18-08-2022,24000,9800,105000,18
DEMO-010,Name-010,03-12-2020,41000,19000,210000,30
DEMO-011,Name-011,14-09-2023,13500,5800,56000,12
DEMO-012,Name-012,26-05-2021,26000,11500,118000,24
DEMO-013,Name-013,09-10-2022,17000,7600,76000,18
DEMO-014,Name-014,27-04-2020,33000,14800,160000,30
DEMO-015,Name-015,02-06-2023,15000,6900,70000,12
DEMO-016,Name-016,12-03-2022,21000,9200,98000,18
DEMO-017,Name-017,16-02-2021,29500,13200,135000,24
DEMO-018,Name-018,25-02-2024,8200,3600,28000,6
DEMO-019,Name-019,29-09-2022,23000,9900,99000,18
DEMO-020,Name-020,18-11-2020,38000,17200,175000,30
DEMO-021,Name-021,05-01-2023,12000,5100,190000,24
DEMO-022,Name-022,13-10-2021,14000,6200,210000,24
DEMO-023,Name-023,01-05-2022,16500,7300,240000,30
DEMO-024,Name-024,22-07-2020,25000,9800,360000,36
DEMO-025,Name-025,10-08-2023,11000,4900,155000,18
DEMO-026,Name-026,19-03-2021,13000,5600,180000,24
DEMO-027,Name-027,08-12-2022,20000,9000,300000,30
DEMO-028,Name-028,15-05-2020,27000,12000,420000,36
DEMO-029,Name-029,27-07-2023,9500,4100,140000,18
DEMO-030,Name-030,09-06-2021,15500,6800,230000,24
DEMO-031,Name-031,20-02-2022,10000,12800,90000,18
DEMO-032,Name-032,04-03-2023,8500,10100,82000,12
DEMO-033,Name-033,14-12-2021,14000,16500,125000,24
DEMO-034,Name-034,06-07-2022,16000,18900,145000,24
DEMO-035,Name-035,28-10-2020,22000,24100,200000,30
DEMO-036,Name-036,03-11-2023,9000,12500,160000,18
DEMO-037,Name-037,17-09-2021,12500,14900,190000,24
DEMO-038,Name-038,24-04-2022,15000,17600,230000,24
DEMO-039,Name-039,31-08-2020,18000,21500,280000,30
DEMO-040,Name-040,12-05-2023,10500,12800,175000,18
DEMO-041,Name-041,not-a-date,15000,7000,60000,12
DEMO-042,Name-042,18-06-2022,,6400,50000,12
DEMO-043,Name-043,30-11-2021,17000,abc,80000,18
,Name-044,09-02-2023,13500,5900,55000,12
DEMO-045,Name-045,25-09-2020,21000,9600,,24
DEMO-046,Name-046,29-01-2022,14500,6200,72000,twelve
DEMO-047,Name-047,16-10-2023,9800,4200,36000,12
DEMO-048,Name-048,08-04-2021,26500,12100,126000,24
DEMO-049,Name-049,03-08-2022,30500,13800,148000,30
DEMO-050,Name-050,01-03-2024,7600,3300,26000,6
